SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,BODY_%,UPPER_WICK_%,LOWER_WICK_%
HCLTECH,2026-03-06,1356.0,1380.8,1354.2,1356.7,2.63,90.6,6.77
SUPREMEIND,2026-03-06,3950.0,4067.7,3935.6,3947.7,1.74,89.1,9.16
RECLTD,2026-03-06,340.0,350.8,338.5,339.15,6.91,87.8,5.28
WIPRO,2026-03-06,195.6,198.93,195.0,195.4,5.09,84.73,10.18
TECHM,2026-03-06,1330.0,1359.5,1326.6,1331.7,5.17,84.5,10.33
CDSL,2026-03-06,1226.0,1248.0,1221.9,1224.1,7.28,84.29,8.43
RPOWER,2026-03-06,22.41,23.24,22.29,22.44,3.16,84.21,12.63
FEDERALBNK,2026-03-06,286.4,291.25,285.6,286.5,1.77,84.07,14.16
IRFC,2026-03-06,99.31,103.1,98.76,99.47,3.69,83.64,12.67
PVRINOX,2026-03-06,1024.0,1040.0,1020.7,1023.3,3.63,82.9,13.47
ENGINERSIN,2026-03-06,204.4,209.18,203.9,204.87,8.9,81.63,9.47
WAAREEENER,2026-03-06,2634.0,2689.9,2621.1,2628.3,8.28,81.25,10.47
ARVIND,2026-03-06,342.5,350.0,342.0,343.55,13.13,80.62,6.25
TATAPOWER,2026-03-06,375.0,385.25,373.1,375.5,4.12,80.25,15.64
WOCKPHARMA,2026-03-06,1305.1,1346.0,1294.8,1299.6,10.74,79.88,9.37
DIVISLAB,2026-03-06,6340.0,6428.0,6315.0,6329.0,9.73,77.88,12.39
ABCAPITAL,2026-03-06,326.95,332.1,325.45,326.55,6.02,77.44,16.54
BAJAJHLDNG,2026-03-06,10600.0,10791.0,10543.0,10560.0,16.13,77.02,6.85
JUSTDIAL,2026-03-06,535.95,548.8,532.0,535.05,5.36,76.49,18.15
LTM,2026-03-06,4270.0,4388.3,4262.0,4292.0,17.42,76.25,6.33
HUDCO,2026-03-06,177.16,182.16,175.6,176.29,13.26,76.22,10.52
KALYANKJIL,2026-03-06,395.95,401.1,394.25,395.55,5.84,75.18,18.98
MPHASIS,2026-03-06,2230.0,2286.9,2210.0,2214.8,19.77,73.99,6.24
ADANIPOWER,2026-03-06,139.6,142.59,138.5,138.99,14.91,73.11,11.98
GSFC,2026-03-06,157.95,160.53,157.0,157.34,17.28,73.09,9.63
HFCL,2026-03-06,69.38,71.1,69.1,69.64,13.0,73.0,14.0
DCBBANK,2026-03-06,172.52,176.6,171.0,171.44,19.29,72.86,7.86
ITC,2026-03-06,310.05,312.3,309.2,309.7,11.29,72.58,16.13
KEI,2026-03-06,4930.5,5000.5,4903.0,4921.0,9.74,71.79,18.46
PCJEWELLER,2026-03-06,9.01,9.24,8.96,9.04,10.71,71.43,17.86
TATACOMM,2026-03-06,1450.1,1498.8,1439.8,1456.7,11.19,71.36,17.46
RAIN,2026-03-06,133.73,138.95,131.6,132.93,10.88,71.02,18.1
YESBANK,2026-03-06,20.2,20.5,20.07,20.12,18.6,69.77,11.63
OFSS,2026-03-06,6761.0,6914.0,6690.0,6718.0,19.2,68.3,12.5
CAMS,2026-03-06,646.15,661.8,642.5,648.85,13.99,67.1,18.91
APLAPOLLO,2026-03-06,2160.0,2191.7,2143.4,2152.8,14.91,65.63,19.46
COLPAL,2026-03-06,2200.1,2220.0,2196.4,2204.6,19.07,65.25,15.68
REPCOHOME,2026-03-06,360.0,368.9,358.1,362.1,19.44,62.96,17.59
JINDALSTEL,2026-03-06,1184.0,1195.8,1176.6,1180.4,18.75,61.46,19.79
